name,meetups,mention_count
Kris Krüg,13|14|15|16|17|18|19|20|21|22|23|24,22
Kevin Friel,13|14|16|17|20|22|23|24,15
Matthew Schwartzman,13|14|15|16|17|18|20|21|22|24,15
Dimitri Schwartzman,13|14|16|17|18|19|20|21,11
Dean Shev,14|16|17|20|21,9
Loki Jorgenson,13|14|15|21|23,9
Philippe Pasquier,13|15|22|24,9
Carol Ann Hilton,17|18|19|20|21,8
Lorraine Lowe,13|18|19|20|24,8
Michael Tippett,14|15|22|24,7
jonny williams,14|16|19|21|22,7
Carol Anne Hilton,17|20|24,6
Matt Sinclair,18|19|21,5
♾️ sev geraskin,16|18|20,5
Noah Brunn,17|18|19,4
Ron Segev,13|17,3
Brett Henderson,20,2
Darby Yule,22,2
David Weng,23,2
Gabriel Zaro,21,2
Jeff Clark,13,2
Kate Armstrong,14|24,2
Mark Busse,17|20,2
Michael Fergusson,,2
Morten Rand-Hendriksen,18,2
Nicole Donnelly,13,2
Peter Bowles,19,2
Alex Tapscott,15,1
Aliza Schwartzman,18,1
Andrea Mills,24,1
Brittney Smaila,13,1
Darren Nicholls,20,1
David Monteyne,17,1
Gokhan Basaran,24,1
Gordon Hamilton,24,1
Jackson Wu Shyang,14,1
Jos Duncan Asé,20,1
Julia Morton,15,1
Kemp Edmonds,18,1
Marc Busse,24,1
Michael Unger,13,1
Mirjana Prpa,13,1
Prajwal Prashanth,,1
Simon Haworth,24,1
Steven Jones,16,1
Taylor Shift,21,1
Udbhav Kansal,24,1
